
B INFRASTRUCTURE B1 B2 B3 B4 B5 B6 B7 B8 Priority
B1 Coverage 1 5.18 9.00 6.96 5.18 2.23 6.65 7.17 0.3719
B2 Security~ infra 0.19 1 6.88 3.31 0.89 0.20 3.08 0.19 0.0927
B3 Proposed usage 0.11 0.15 1 0.64 0.24 0.32 0.19 0.20 0.0252
B4 Avail~ technicians 0.14 0.30 1.57 1 0.38 1.67 1.00 0.32 0.0637
B5 Access ~ infra 0.19 1.12 4.12 2.65 1 0.46 1.97 0.57 0.0832
B6 Remoteness ~ area 0.45 5.00 3.08 6.00 2.19 1 3.00 1.19 0.1722
B7 Rollout time 0.15 0.32 5.14 1.00 0.51 0.33 1 0.46 0.0559
B8 Parallel infra. 0.14 5.33 5.01 3.08 1.75 0.84 2.19 1 0.1352
